Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39503,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39505,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.3']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39506,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.15']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39507,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39509,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.7']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39510,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40899,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40900,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40901,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40902,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40903,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40904,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.28']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40905,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40906,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40908,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40910,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.18']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40911,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.16']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40912,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.14']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40913,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40914,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.18']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40915,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40916,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40919,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40920,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,"['6.1.93', '6.6.33', '6.9.3']"
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40921,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,"['6.1.93', '6.6.33', '6.9.3']"
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40924,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['6.0']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40927,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['2.6.35']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40929,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40931,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40932,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40934,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40935,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40937,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40938,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40939,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.16']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40940,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40941,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.12']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40942,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.26']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40943,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.23']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40947,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40948,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40953,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.39']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40954,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.12']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40956,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.11']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40957,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40958,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40959,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40960,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40961,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40963,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40966,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40967,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40968,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40970,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40971,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40974,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40976,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40977,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40978,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40980,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40981,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40983,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.5']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40984,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.32']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40987,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40988,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40989,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40990,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.11']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40993,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,"['6.1.95', '6.6.35', '6.9.6']"
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40994,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40995,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40996,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41000,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41001,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41002,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41004,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.6']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41005,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41006,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2023-52812,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-36914,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39472,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-40972,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41017,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41090,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41091,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-39497,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41009,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41012,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.13']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41015,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41016,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41040,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41041,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41044,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41048,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41057,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41058,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41059,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41060,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41063,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41064,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41066,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41069,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41070,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41071,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41072,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41076,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
